CustomerID,ProductCategory,Price,Quantity,TransactionDate,Age,Gender,Location
CUST0313,Home & Kitchen,331.19,1,2024-02-12,63,Female,South
CUST0313,Groceries,105.27,1,2024-03-08,63,Female,South
CUST0313,Home & Kitchen,162.31,2,2024-09-02,63,Female,South
CUST0313,Books,90.05,3,2024-01-13,63,Female,South
CUST0313,Home & Kitchen,435.64,4,2024-02-26,63,Female,South
CUST0313,Clothing,121.27,4,2024-01-15,63,Female,South
CUST0023,Groceries,127.72,4,2024-05-30,38,Female,West
CUST0023,Clothing,66.45,3,2024-10-06,38,Female,West
CUST0023,Electronics,943.97,2,2024-04-12,38,Female,West
CUST0023,Groceries,137.73,4,2024-09-11,38,Female,West
CUST0023,Clothing,240.43,2,2024-04-15,38,Female,West
CUST0023,Home & Kitchen,452.01,4,2024-03-18,38,Female,West
CUST0023,Groceries,20.33,1,2024-09-22,38,Female,West
CUST0023,Books,12.93,2,2024-03-19,38,Female,West
CUST0023,Books,40.46,2,2024-12-22,38,Female,West
CUST0023,Electronics,564.03,4,2024-09-22,38,Female,West
CUST0023,Groceries,156.86,3,2024-02-08,38,Female,West
CUST0374,Home & Kitchen,101.45,3,2024-01-05,60,Female,South
CUST0374,Home & Kitchen,399.38,2,2024-06-03,60,Female,South
CUST0374,Home & Kitchen,424.43,3,2024-05-14,60,Female,South
CUST0374,Groceries,61.65,4,2024-10-07,60,Female,South
CUST0374,Home & Kitchen,328.19,1,2024-09-16,60,Female,South
CUST0374,Groceries,12.63,4,2024-10-17,60,Female,South
CUST0374,Clothing,114.79,3,2024-12-17,60,Female,South
CUST0374,Clothing,189.78,2,2024-08-22,60,Female,South
CUST0132,Home & Kitchen,396.96,2,2024-12-10,31,Female,South
CUST0132,Electronics,216.18,4,2024-10-06,31,Female,South
CUST0132,Clothing,165.62,3,2024-01-25,31,Female,South
CUST0132,Groceries,119.77,2,2024-10-24,31,Female,South
CUST0132,Electronics,153.93,4,2024-09-30,31,Female,South
CUST0132,Clothing,121.71,2,2024-10-31,31,Female,South
CUST0132,Electronics,217.65,3,2024-04-07,31,Female,South
CUST0132,Home & Kitchen,386.45,1,2024-05-05,31,Female,South
CUST0132,Groceries,82.62,3,2024-08-12,31,Female,South
CUST0132,Books,53.15,4,2024-02-12,31,Female,South
